fileName,targetWord,Sentence
WARW1800000016,깜깜,달이 뜨면 안 깜깜한 걸
WARW1800000017,깜깜,그리고 어느 깜깜한 밤에 아내의 시체를 강으로 가져가서 던져버렸어
WARW1800000017,깜깜,지하도는 깜깜했지만 그는 헤매지도 않고 곧장 어딘가로 향하더니 철문 하나를 끼익 열었다
WARW1800000021,깜깜,미친다는 것은 정말로 깜깜한 아무런 빛도 없기 때문에 어둠이 어둠으로 느껴지지 않는 어디까지가 하늘이고 어디까지가 바다인지 알 수 없는 그런 바다에 몸을 던지는 기분이에요
WARW1800000036,깜깜,긴머리 아가씨는 다시 칠흑같이 깜깜한 동굴로 끌려갔어요
WARW1800000073,깜깜,그 뒤로 여자의 소식은 깜깜 모르다가 이듬해 늦겨울 우체국 계단에 쓰러져 있는 걸 가매마을 농부가 발견해서 트럭에 태워 왔다
WARW1800000073,깜깜,사위는 깜깜하고 가끔 자동차가 스쳐갔다
WARW1800000086,깜깜,문 닫힌 문방구 깜깜한 운동장은 이상했다
WARW1900000004,깜깜,겨울에는 아직 깜깜할 시간이지만 여름에는 해가 쨍쨍 내리쬐니까
WARW1900000038,깜깜,눈앞이 깜깜해지더니 별똥별 같은 것들이 빙빙 눈앞에서 돌아갔다
WARW1900000044,깜깜,그러자 갑자기 세상이 깜깜해져 버렸습니다
WARW1900000045,깜깜,배운 것을 잘 이해하면 척척 다음 방문이 열리지만 제대로 이해를 하지 못하면 깜깜 절벽처럼 더 이상 앞으로 나갈 수 없어서 그 곳을 척척깜깜 동굴이라고 부르는 것입니다
WARW1900000046,깜깜,그것을 생각하면 눈앞이 깜깜합니다
WARW1900000049,깜깜,그사이에 허리가 꺾쇠처럼 굽고 머리가 하얗게 희고 귀가 깜깜절벽이 되어 버린 순득의 어머니와 머리가 아프다고 늘 머리에 대님 하나를 동이고 바다로 산으로 헤매 다니던 옥문의 어머니는 살아 돌아온 자들을 붙들고 같은 말을 몇 번이나 되물었다
WARW1900000050,깜깜,그렇게 하여 나는 창문도 없는 깜깜한 버스에 실리고 만 것이다
WARW1900000050,깜깜,나는 그들과 함께 깜깜한 밤중을 이용하여 몰록 상이 있는 언덕에 가 보았다
WARW1900000054,깜깜,그래서 환한 낮에는 숨어 있다가 깜깜한 밤이 돼서야 숲 속에 나타난답니다
WARW1900000054,깜깜,주인 아저씨는 아무도 보지 않는 깜깜한 밤에 허수아비를 세워 놓았어요
WARW1900000058,깜깜,바로 곁에 있는 사람도 알아보기 어려운 깜깜한 그믐께였다
WARW1900000060,깜깜,재킷들은 깜깜해져서 그것이 어떤 음반들인지 에게보여지지 않는다 아마도
WARW1900000060,깜깜,뭔가 그 오래 갇혀 있었던 나무함 속 깜깜함과 광선의 틈바귀에서 뭔가 움직이고 있다
WARW1900000060,깜깜,풀려났던 적이 없던 나무함 속의 깜깜함 속에서
